id,Label,latitude,longitude
1,AGGC,-6.711944,156.39611100000002
2,AGGH,-9.4280004501343,160.05499267578
3,AGGM,-8.327969551086426,157.26300048828125
4,ANYN,-0.547458,166.919006
5,AYGA,-6.0816898345900015,145.391998291
6,AYGN,-10.311499595599999,150.333999634
7,AYGR,-8.80453968048,148.309005737
8,AYHK,-5.462170124053955,150.40499877929688
9,AYKI,-6.1257100105285645,141.28199768066406
10,AYKV,-2.57940006256,150.807998657
11,AYMD,-5.20707988739,145.789001465
12,AYMH,-5.826789855957031,144.29600524902344
13,AYMN,-6.14774,143.656998
14,AYMO,-2.06189,147.423996
15,AYMR,-6.36332988739,143.238006592
16,AYPY,-9.443380355834961,147.22000122070312
17,AYVN,-2.6926,141.3028
18,BGAA,68.7218017578,-52.7846984863
19,BGBW,61.1604995728,-45.4259986877
20,BGGH,64.19090271,-51.678100585900005
21,BGJN,69.2432022095,-51.0570983887
22,BGMQ,65.4124984741,-52.939399719200004
23,BGSF,67.0122218992,-50.7116031647
24,BGUM,70.6804279261,-52.111630439799995
25,BIKF,63.985000610352,-22.605600357055998
26,BKPR,42.5728,21.035801
27,CAD4,49.0555992126,-117.60900116
28,CCD4,54.9105,-59.78507
29,CJV7,52.70859909057617,-88.54190063476562
30,CKL3,52.89390182495117,-89.28919982910156
31,CSU2,53.80559921264648,-78.91690063476562
32,CTK6,50.1958007812,-61.2658004761
33,CYAG,48.65420150756836,-93.439697265625
34,CYAM,46.48500061035156,-84.5093994140625
35,CYAQ,53.52470016479492,-88.6427993774414
36,CYAS,60.027198791503906,-69.99919891357422
37,CYAT,52.9275016784668,-82.43190002441406
38,CYAY,51.391899108900006,-56.083099365200006
39,CYBC,49.13249969482422,-68.20439910888672
40,CYBD,52.387501,-126.596001
41,CYBG,48.33060073852539,-70.99639892578125
42,CYBK,64.29889678960001,-96.077796936
43,CYBL,49.95080184936523,-125.27100372314452
44,CYBR,49.91,-99.951897
45,CYBX,51.4435997009,-57.1852989197
46,CYCB,69.1081008911,-105.13800048799999
47,CYCD,49.054970224899996,-123.869862556
48,CYCG,49.296398162799996,-117.63200378399999
49,CYCY,70.4860992432,-68.5167007446
50,CYDF,49.21080017089844,-57.39139938354492
51,CYDP,56.54919815063477,-61.68030166625977
52,CYDQ,55.7422981262207,-120.18299865722656
53,CYEG,53.309700012200004,-113.580001831
54,CYEK,61.0942001343,-94.0708007812
55,CYEV,68.30419921880001,-133.483001709
56,CYFA,52.20140075683594,-81.6968994140625
57,CYFB,63.756402,-68.555801
58,CYFC,45.86890029907226,-66.53720092773439
59,CYFH,51.5619010925293,-87.90779876708984
60,CYFS,61.76020050048828,-121.23699951171876
61,CYGH,66.24079895019531,-128.6510009765625
62,CYGK,44.22529983520508,-76.5969009399414
63,CYGL,53.62530136108398,-77.7042007446289
64,CYGP,48.775299072299994,-64.4785995483
65,CYGR,47.42470169067383,-61.778099060058594
66,CYGT,69.3647003174,-81.8161010742
67,CYGV,50.281898498535156,-63.61140060424805
68,CYGW,55.281898498535156,-77.76529693603516
69,CYGX,56.35749816894531,-94.71060180664062
70,CYHA,61.0463981628418,-69.6177978515625
71,CYHD,49.831699,-92.744202
72,CYHK,68.635597229,-95.8497009277
